"docauthorid","docauthorname","docid","sourcetitle","docyear","docmonth","docday","authorgender","agewriting","birthyear","deathyear","religionNew","relMin","nationalOrigin","britishEmpire_EU","translated","authorLocation","socialClass","A","I","CCP","Unknown","wageLabour","publicLetter"
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D002","At the End of the Santa Fe Trail",1872,11,30,"F",22,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D004","At the End of the Santa Fe Trail",1872,12,6,"F",22,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D005","At the End of the Santa Fe Trail",1872,12,10,"F",22,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D006","At the End of the Santa Fe Trail",1872,12,21,"F",22,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D007","At the End of the Santa Fe Trail",1873,3,1,"F",23,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D008","At the End of the Santa Fe Trail",1873,7,NA,"F",23,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D009","At the End of the Santa Fe Trail",1873,9,NA,"F",23,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D010","At the End of the Santa Fe Trail",1874,6,30,"F",24,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D011","At the End of the Santa Fe Trail",1874,11,14,"F",24,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D012","At the End of the Santa Fe Trail",1876,6,NA,"F",26,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D013","At the End of the Santa Fe Trail",1876,9,NA,"F",26,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D014","At the End of the Santa Fe Trail",1876,12,16,"F",26,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D015","At the End of the Santa Fe Trail",1877,1,NA,"F",27,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D016","At the End of the Santa Fe Trail",1878,3,NA,"F",28,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D017","At the End of the Santa Fe Trail",1878,3,NA,"F",28,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D018","At the End of the Santa Fe Trail",1878,6,12,"F",28,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D019","At the End of the Santa Fe Trail",1879,1,16,"F",29,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D020","At the End of the Santa Fe Trail",1879,10,1,"F",29,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D021","At the End of the Santa Fe Trail",1879,8,NA,"F",29,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
"per0001043","Segale, Sister Blandina, 1850-1941","S1019-D022","At the End of the Santa Fe Trail",1880,3,NA,"F",30,1850,1941,"Catholic",TRUE,"Italian",FALSE,FALSE,"USA","Nun; Social worker; Teacher",FALSE,FALSE,TRUE,FALSE,FALSE,NA
