,text,docid,sequence,totalTokens,uniqueTokens,lexicalDiversity,scoreNeg,scoreNeu,scorePos,scoreCom,chunks,position
0,Charra Wednesday Nov 4th 1883 A nice cool day Mrs Roberts and I were talking nearly the whole night feel very tired today Tom left just after breakfast for Mr Hiern's Station he will not be back until Sunday or Monday he is talking of going out to the new Tanks over 100 miles from here if he can make sure of getting water I Darned up the socks and Stockings I had with me and cut out some under clothes. Charra Thursday Nov 8th North wind first thing this morning with heavy thunder but only a few drops of rain I was so sleepy did not get up till very late had been hand sewing which is very tiresome My throat keep very sore still the Cold has not nearly left one Worrier ill with cold our Black Boy Charra Friday Nov 9th We have had thunder and lightning with a little rain off and on all day I have been sewing all day but Mrs Roberts keeps me talking after going to bed till all hours of the night so that I can't get up in the morning have had a head ache all day from want of rest and sitting too close. Young Jeff Miller and Jimmy Roberts here tonight they are on the road to Mercaney with sheep what a torment Mrs Roberts is to the Children she rubbed grease on a plate then smoked it black over a Candle and marked the Boys faces after they were asleep drinking so much tea kills me I must leave it off Charra Saturday nov 10th We had more rain and thunder this,D0002,1,277,171,0.6173285198555957,0.06999999999999999,0.891,0.039,-0.37976666666666664,447,0.0022371364653243847
1,night so that I can't get up in the morning have had a head ache all day from want of rest and sitting too close. Young Jeff Miller and Jimmy Roberts here tonight they are on the road to Mercaney with sheep what a torment Mrs Roberts is to the Children she rubbed grease on a plate then smoked it black over a Candle and marked the Boys faces after they were asleep drinking so much tea kills me I must leave it off Charra Saturday nov 10th We had more rain and thunder this morning I was late up again Mrs Roberts will think me a sleepy head the breakfast was over when I came out the Boys were away and Mr Roberts just leaving Mrs Roberts and the girls Cleaning and Cooking I was sewing We were just in the middle of a fine old gossip when Frank was seen coming with two Police horses one packed with Toms uniform he has to go to Venus Bay for Drill by the sixteenth of the month which is next Friday Frank did not arrive till 2P.M so after he had some dinner I thought it best to come on to Denial Bay if we did not meet Tom coming to Charra and wait till Sunday morning feeling sure we should meet him about 10am at Denial Bay it was after three P.M. when we started and had 26 miles to travel over heavy sand for some miles the last part of the Journey and by the sea coast. it was quite dark when we reached the Tanks we were all very cold the Boys watered and turned,D0002,2,281,170,0.604982206405694,0.044333333333333336,0.9076666666666666,0.04800000000000001,-0.05883333333333334,447,0.0044742729306487695
2,Frank did not arrive till 2P.M so after he had some dinner I thought it best to come on to Denial Bay if we did not meet Tom coming to Charra and wait till Sunday morning feeling sure we should meet him about 10am at Denial Bay it was after three P.M. when we started and had 26 miles to travel over heavy sand for some miles the last part of the Journey and by the sea coast. it was quite dark when we reached the Tanks we were all very cold the Boys watered and turned out the horses lit the fire boiled the quart pots and made tea I had no appetite feeling worried for I feared the mare would not bring us on she looked so bad then we made a bed under the shed of bags of Chaff which belong to the government Frank lay down by my side we did not undress. I did not take off my boots the Boys slept well but I did not had flatulence and palpatation very badly I think taking a little Brandy on coming to Camp caused it. Mrs Roberts lent me two pairs of Blankets but felt very cold towards morning she kindly gave us all we required for the journey Denial Bay Sunday Nov 11th We had a few light showers of rain during the night the Weather looks heavy with rain and thunder Clouds today the mail passed this morning with Langley and Albert Campbell as driver they were driving four horses I went for a walk and met Mr William Hasken also walking he with his brother Sailed,D0002,3,276,170,0.6159420289855072,0.07475,0.8845,0.041,-0.137725,447,0.006711409395973154
3,to Camp caused it. Mrs Roberts lent me two pairs of Blankets but felt very cold towards morning she kindly gave us all we required for the journey Denial Bay Sunday Nov 11th We had a few light showers of rain during the night the Weather looks heavy with rain and thunder Clouds today the mail passed this morning with Langley and Albert Campbell as driver they were driving four horses I went for a walk and met Mr William Hasken also walking he with his brother Sailed over from St Peters Island yesterday for their mail his mother and Sisters are in Adelaide have been waiting for Tom till noon then wrote a note and sent Worrier on Jester to Mercaney as Langley told me a Black Boy going to Mr Watsons yesterday from Mr Hierns place told him Tom was at Mercaney and intended to meet the mail at Laura Bay today which is fifteen miles nearer Streaky Bay and six miles out of his road coming home which I can't understand but hope to know tonight all about it. Wish I had sent early this morning can't think why he is staying so long about Mercaney I hope he is not drinking feel very anxious I am very anxious can't eat and my heart is beating fast. such a cold morning we all had a walk along the beach but the tide was high saw Mr Hoskin and his Tent camp back to camp had dinner wrote a note to Tom and sent Worrier to Mercaney with it on Jester. Frank and I walked,D0002,4,270,163,0.6037037037037037,0.0456,0.9256,0.028599999999999997,-0.21692,447,0.008948545861297539
4,which I can't understand but hope to know tonight all about it. Wish I had sent early this morning can't think why he is staying so long about Mercaney I hope he is not drinking feel very anxious I am very anxious can't eat and my heart is beating fast. such a cold morning we all had a walk along the beach but the tide was high saw Mr Hoskin and his Tent camp back to camp had dinner wrote a note to Tom and sent Worrier to Mercaney with it on Jester. Frank and I walked to the Beach gathered winkels then back to Tanks and along the Mercaney road walked till we were tired came back to camp was just making a quart of tea when Tom and Worrier came he was not coming back for several days had he not been sent for but was then just going out to the Tanks in the Desert with Mr Hiern on the Camels he could not get out with horses no water in tanks and no grass he had been helping Mr Hiern to load his stores Friday and Saturday at Laura Bay. the Boys made a wurley in the scrub for Tom and I and one for themselves I grilled the Chops the two Hoskins joined us at supper. Denial Bay Monday Nov 12th Up early the two Hoskins. Jeff Miller Jimmy Roberts Frank Worrier Tom and I all camped here Denial Bay I got breakfast Tom and Boys Harnessed and saddled horses here we had to part I could not go through with Tom to Streaky Bay the mare was far too weak and her Collar,D0002,5,282,147,0.5212765957446809,0.08985714285714286,0.8922857142857143,0.017857142857142856,-0.37197142857142856,447,0.011185682326621925
5,his stores Friday and Saturday at Laura Bay. the Boys made a wurley in the scrub for Tom and I and one for themselves I grilled the Chops the two Hoskins joined us at supper. Denial Bay Monday Nov 12th Up early the two Hoskins. Jeff Miller Jimmy Roberts Frank Worrier Tom and I all camped here Denial Bay I got breakfast Tom and Boys Harnessed and saddled horses here we had to part I could not go through with Tom to Streaky Bay the mare was far too weak and her Collar was not large enough for his horses necks so he could not help me without injury to his Police horses had the road down been good I might have managed but it is a heavy drag the whole way after one leaves Denial Bay nothing but sand so Tom left for S.B. Frank and I for Charra. We had 26 miles to travel the old mare would walk along and pull but did not care to trot we got to Charra about 1.P.M. I felt so tired and sleepy could hardly keep up had dinner Mrs Roberts kindly got for me heavy thunder and lightening but not much rain this towards night. Mr Roberts was down on the coast fishing he was late home she was getting anxious when he came with a bag of cockels he lost his horse and had a trouble to get him again. (Charra) Tuesday Nov 13th Weather heavy and showery till 11.A.M. Mr Roberts kindly lent us his strong mare to bring us home as we were all very doubtful our old mare would be,D0002,6,279,164,0.5878136200716846,0.033,0.9372,0.0298,-0.03541000000000001,447,0.013422818791946308
6,could hardly keep up had dinner Mrs Roberts kindly got for me heavy thunder and lightening but not much rain this towards night. Mr Roberts was down on the coast fishing he was late home she was getting anxious when he came with a bag of cockels he lost his horse and had a trouble to get him again. (Charra) Tuesday Nov 13th Weather heavy and showery till 11.A.M. Mr Roberts kindly lent us his strong mare to bring us home as we were all very doubtful our old mare would be strong enough to do the journey she is so weak what a size she looked when harnessed to old Billy she has had a two month spell owing to bad back caused by the Entire they can't put a saddle on her yet and as they are afraid she will be too much for them when they do use her lent her to me to take off the fresh from her Mr Roberts drove me through the Charra scrub she trotted along by old Billy like a lamb but doing all the work Frank let out her traces then Billy worked better here Mr Roberts left us and Frank drove We left Charra at 11AM Penong as 2.P.M. 26 miles had the Mare been at all rusty I dont know how Mr Roberts would have managed as he is so very nervous found Mrs Higgins ill with the Cold that has been troubling us lately she gave us some dinner we were back Cold and tired We remain here tonight Penong Young Jackson from Kapunda the Chemist son is here and Charley Beck.,D0002,7,280,169,0.6035714285714285,0.06939999999999999,0.9026,0.028200000000000003,-0.22318000000000002,447,0.015659955257270694
7,all the work Frank let out her traces then Billy worked better here Mr Roberts left us and Frank drove We left Charra at 11AM Penong as 2.P.M. 26 miles had the Mare been at all rusty I dont know how Mr Roberts would have managed as he is so very nervous found Mrs Higgins ill with the Cold that has been troubling us lately she gave us some dinner we were back Cold and tired We remain here tonight Penong Young Jackson from Kapunda the Chemist son is here and Charley Beck. Wednesday Nov 14th All up here very early breakfast over by 7.A.M. Frank and I started before 8 A.M. for home Bookabie at 1130AM turned out the horses till nearly 2.P.M. Mrs Miller gave us dinner We came home by Boarey Scrub very heavy Sandy road for twenty miles along the Coast got home about 6PM found Telegram from Tom he was at S.B. all safe and Said he would like me to come down either by mail or by horses and get Langley to drive me if he wanted to catch the Vessel at SB for Adelaide but I find too much to do in the next two days to leave home for that journey in such a short time my flowers nearly dead for want of water house dirty and dusty a lot of washing Bread to make and cook mending to be done and a dozen other jobs no I can't leave home in comfort for a month birds and the Cat all like me at home have some chicklings just hatched all my letters to write. am very tired and,D0002,8,286,181,0.6328671328671329,0.108,0.8684285714285715,0.023571428571428573,-0.20258571428571429,447,0.017897091722595078
8,to drive me if he wanted to catch the Vessel at SB for Adelaide but I find too much to do in the next two days to leave home for that journey in such a short time my flowers nearly dead for want of water house dirty and dusty a lot of washing Bread to make and cook mending to be done and a dozen other jobs no I can't leave home in comfort for a month birds and the Cat all like me at home have some chicklings just hatched all my letters to write. am very tired and want a rest Thursday Nov 15th I felt very lazy this morning and did not turn out early sent telegram to Tom and wrote Mrs Murray Mr Beadon Came in today and sent me a little wood by Mr Bishop it was very acceptable as we are very short of fire wood Mr Beadon came here for tea he went to sleep in his chair before tea was ready he had been drinking with Le Mesurier set Bread Friday Nov 16th A nice cool day been busy writing Mr Wenyss came in and gave me the offer of horses for the road I did not think then I could manage to go but have since made up my mind to come must wash Cook and Clean tomorrow have done a lot of writing am tired Mr Beadon here for breakfast the Bishops left this morning for Wookata Lloyd and Beadon's Station sent all the articles to the people I have promised Le Mesurier and Beadon both drinking today Le Mesurier flying about on old Scroggins over the swamp beating his,D0002,9,282,169,0.599290780141844,0.07200000000000001,0.8415,0.0865,-0.2798,447,0.020134228187919462
9,Wenyss came in and gave me the offer of horses for the road I did not think then I could manage to go but have since made up my mind to come must wash Cook and Clean tomorrow have done a lot of writing am tired Mr Beadon here for breakfast the Bishops left this morning for Wookata Lloyd and Beadon's Station sent all the articles to the people I have promised Le Mesurier and Beadon both drinking today Le Mesurier flying about on old Scroggins over the swamp beating his horse with a stick so Frank said he was in the office quite drunk Saturday Nov 17th We were rather rate up Mr Wemyss came in with Yalata Mail and took breakfast with us Frank lit two fires milked the goats I had to wash today it was a heavy wash 11A.M. before We could begin Frank and I such a hot morning the Iron washhouse like an Oven dark before all was finished I leave on Wednesday morning Yalata for Streaky Bay Tom sent two messages on Friday night for me to go down Frank had to catch old Scroggins to go to Wookata tomorrow Frank and I were both very tired but I managed to fold the Clothes before I went to bed Mr Wemyss looks ill from the cold. Sundy Nov 18th North Wind blowing all day sun fearfully hot I have been very wicked by making this Lords day Saturday swept and dusted all the rooms scrubbed the table and Cleaned doors of finger marks cleaned all the Bird Cages Frank washed,D0002,10,269,161,0.5985130111524164,0.09700000000000002,0.8786666666666667,0.024333333333333332,-0.7094,447,0.02237136465324385
